INFO:root:Batch 128, Loss: 8.559785842895508
INFO:root:Batch 129, Loss: 8.24905776977539
INFO:root:Batch 130, Loss: 8.0745849609375
INFO:root:Batch 131, Loss: 8.261305809020996
INFO:root:Batch 132, Loss: 8.198859214782715
INFO:root:Batch 133, Loss: 7.642954349517822
INFO:root:Batch 134, Loss: 7.537569522857666
INFO:root:Batch 135, Loss: 8.142364501953125
INFO:root:Batch 136, Loss: 8.161832809448242
INFO:root:Batch 137, Loss: 8.23913860321045
INFO:root:Batch 138, Loss: 8.338125228881836
INFO:root:Batch 139, Loss: 8.145858764648438
INFO:root:Batch 140, Loss: 7.62925910949707
INFO:root:Batch 141, Loss: 8.161491394042969
INFO:root:Batch 142, Loss: 7.842419624328613
INFO:root:Batch 143, Loss: 7.342611789703369
INFO:root:Batch 144, Loss: 7.804648399353027
INFO:root:Batch 145, Loss: 7.469071388244629
INFO:root:Batch 146, Loss: 7.904407978057861
INFO:root:Batch 147, Loss: 7.949631214141846
INFO:root:Batch 148, Loss: 7.788318157196045
INFO:root:Batch 149, Loss: 7.74991512298584
INFO:root:Batch 150, Loss: 7.773530006408691
INFO:root:Batch 151, Loss: 7.538758754730225
INFO:root:Batch 152, Loss: 7.03143835067749
INFO:root:Batch 153, Loss: 7.696338653564453
INFO:root:Batch 154, Loss: 7.089676380157471
INFO:root:Batch 155, Loss: 7.4866557121276855
INFO:root:Batch 156, Loss: 8.051328659057617
INFO:root:Batch 157, Loss: 7.973971843719482
INFO:root:Batch 158, Loss: 7.573165416717529
INFO:root:Batch 159, Loss: 7.688340663909912
INFO:root:Batch 160, Loss: 7.687424659729004
INFO:root:Batch 161, Loss: 7.36891508102417
INFO:root:Batch 162, Loss: 7.11153507232666
INFO:root:Batch 163, Loss: 6.811062812805176
INFO:root:Batch 164, Loss: 6.810998439788818
INFO:root:Batch 165, Loss: 7.320822238922119
INFO:root:Batch 166, Loss: 6.875498294830322
INFO:root:Batch 167, Loss: 7.153067588806152
INFO:root:Batch 168, Loss: 7.303828239440918
INFO:root:Batch 169, Loss: 7.6817121505737305
INFO:root:Batch 170, Loss: 7.339023113250732
INFO:root:Batch 171, Loss: 7.254655838012695
INFO:root:Batch 172, Loss: 7.162315845489502
INFO:root:Batch 173, Loss: 7.524789810180664
INFO:root:Batch 174, Loss: 6.83758544921875
INFO:root:Batch 175, Loss: 7.547482967376709
INFO:root:Batch 176, Loss: 7.380299091339111
INFO:root:Batch 177, Loss: 7.473110198974609
INFO:root:Batch 178, Loss: 7.058446407318115
INFO:root:Batch 179, Loss: 7.1876325607299805
INFO:root:Batch 180, Loss: 7.175873279571533
INFO:root:Batch 181, Loss: 6.857513904571533
INFO:root:Batch 182, Loss: 6.581658363342285
INFO:root:Batch 183, Loss: 6.903069972991943
INFO:root:Batch 184, Loss: 6.959702968597412
INFO:root:Batch 185, Loss: 7.508133888244629
INFO:root:Batch 186, Loss: 7.633314609527588
INFO:root:Batch 187, Loss: 7.3296942710876465
INFO:root:Batch 188, Loss: 6.67902135848999
INFO:root:Batch 189, Loss: 6.430028915405273
INFO:root:Batch 190, Loss: 7.647384166717529
INFO:root:Batch 191, Loss: 5.720494270324707
INFO:root:Batch 192, Loss: 6.545652866363525
INFO:root:Batch 193, Loss: 6.929528713226318
INFO:root:Batch 194, Loss: 6.6581268310546875
INFO:root:Batch 195, Loss: 7.782257080078125
INFO:root:Batch 196, Loss: 6.403556823730469
INFO:root:Batch 197, Loss: 7.395422458648682
INFO:root:Batch 198, Loss: 7.084049701690674
INFO:root:Batch 199, Loss: 6.52157735824585
INFO:root:Batch 200, Loss: 6.616237640380859
INFO:root:Batch 201, Loss: 6.732199192047119
INFO:root:Batch 202, Loss: 7.117725372314453
INFO:root:Batch 203, Loss: 7.604390621185303
INFO:root:Batch 204, Loss: 6.238064289093018
INFO:root:Batch 205, Loss: 6.803554058074951
INFO:root:Batch 206, Loss: 6.342879772186279
INFO:root:Batch 207, Loss: 6.252139568328857
INFO:root:Batch 208, Loss: 7.141498565673828
INFO:root:Batch 209, Loss: 6.434401512145996
INFO:root:Batch 210, Loss: 6.48878288269043
INFO:root:Batch 211, Loss: 6.538449764251709
INFO:root:Batch 212, Loss: 6.938676834106445
INFO:root:Batch 213, Loss: 6.106449127197266
INFO:root:Batch 214, Loss: 6.684164524078369
INFO:root:Batch 215, Loss: 6.37864875793457
INFO:root:Batch 216, Loss: 5.661148548126221
INFO:root:Batch 217, Loss: 6.208095073699951
INFO:root:Batch 218, Loss: 6.483027458190918
INFO:root:Batch 219, Loss: 5.916055202484131
INFO:root:Batch 220, Loss: 5.989642143249512
INFO:root:Batch 221, Loss: 5.685585021972656
INFO:root:Batch 222, Loss: 5.915822505950928
INFO:root:Batch 223, Loss: 6.045078277587891
INFO:root:Batch 224, Loss: 6.600656986236572
INFO:root:Batch 225, Loss: 6.297482967376709
INFO:root:Batch 226, Loss: 6.226457118988037
INFO:root:Batch 227, Loss: 6.034200668334961
INFO:root:Batch 228, Loss: 6.824965476989746
INFO:root:Batch 229, Loss: 6.287076473236084
INFO:root:Batch 230, Loss: 5.9548563957214355
INFO:root:Batch 231, Loss: 5.556005477905273
INFO:root:Batch 232, Loss: 6.282157897949219
INFO:root:Batch 233, Loss: 5.792842864990234
INFO:root:Batch 234, Loss: 5.559314727783203
INFO:root:Batch 235, Loss: 6.1134467124938965
INFO:root:Batch 236, Loss: 6.6004109382629395
INFO:root:Batch 237, Loss: 5.746306419372559
INFO:root:Batch 238, Loss: 6.0472307205200195
INFO:root:Batch 239, Loss: 5.551566123962402
INFO:root:Batch 240, Loss: 5.939478397369385
INFO:root:Batch 241, Loss: 5.641608715057373
INFO:root:Batch 242, Loss: 6.081289291381836
INFO:root:Batch 243, Loss: 6.17258358001709
INFO:root:Batch 244, Loss: 5.734461307525635
INFO:root:Batch 245, Loss: 6.932278156280518
INFO:root:Batch 246, Loss: 6.0133233070373535
INFO:root:Batch 247, Loss: 6.1576385498046875
INFO:root:Batch 248, Loss: 6.105647563934326
INFO:root:Batch 249, Loss: 5.662622928619385
INFO:root:Batch 250, Loss: 5.791779518127441
INFO:root:Batch 251, Loss: 5.869884014129639
INFO:root:Batch 252, Loss: 6.319360256195068
INFO:root:Batch 253, Loss: 5.833566188812256
INFO:root:Batch 254, Loss: 6.288111686706543
INFO:root:Batch 255, Loss: 6.531932830810547
INFO:root:Batch 256, Loss: 5.6412482261657715
INFO:root:Batch 257, Loss: 5.9074506759643555
INFO:root:Batch 258, Loss: 6.478257656097412
INFO:root:Batch 259, Loss: 5.748378276824951
INFO:root:Batch 260, Loss: 5.818084716796875
INFO:root:Batch 261, Loss: 6.241771697998047
INFO:root:Batch 262, Loss: 5.346057891845703
INFO:root:Batch 263, Loss: 5.127631664276123
INFO:root:Batch 264, Loss: 6.331150054931641
INFO:root:Batch 265, Loss: 5.502143859863281
INFO:root:Batch 266, Loss: 5.36637544631958
INFO:root:Batch 267, Loss: 5.863399505615234
INFO:root:Batch 268, Loss: 5.4369425773620605
INFO:root:Batch 269, Loss: 5.260410308837891
INFO:root:Batch 270, Loss: 5.668478488922119
INFO:root:Batch 271, Loss: 5.483493804931641
INFO:root:Batch 272, Loss: 5.787868499755859
INFO:root:Batch 273, Loss: 5.485564231872559
INFO:root:Batch 274, Loss: 5.635948657989502
INFO:root:Batch 275, Loss: 6.134962558746338
INFO:root:Batch 276, Loss: 5.259083271026611
INFO:root:Batch 277, Loss: 5.945369720458984
INFO:root:Batch 278, Loss: 5.088795185089111
INFO:root:Batch 279, Loss: 5.749771595001221
