INFO:root:Batch 0, Loss: 10.760013580322266
INFO:root:Batch 1, Loss: 10.710929870605469
INFO:root:Batch 2, Loss: 10.583824157714844
INFO:root:Batch 3, Loss: 10.472155570983887
INFO:root:Batch 4, Loss: 10.38432788848877
INFO:root:Batch 5, Loss: 10.292813301086426
INFO:root:Batch 6, Loss: 10.197731971740723
INFO:root:Batch 7, Loss: 10.124999046325684
INFO:root:Batch 8, Loss: 10.021059036254883
INFO:root:Batch 9, Loss: 9.888608932495117
INFO:root:Batch 10, Loss: 9.932350158691406
INFO:root:Batch 11, Loss: 9.733469009399414
INFO:root:Batch 12, Loss: 9.675779342651367
INFO:root:Batch 13, Loss: 9.583739280700684
INFO:root:Batch 14, Loss: 9.370750427246094
INFO:root:Batch 15, Loss: 9.443367958068848
INFO:root:Batch 16, Loss: 9.387237548828125
INFO:root:Batch 17, Loss: 9.204813957214355
INFO:root:Batch 18, Loss: 9.064789772033691
INFO:root:Batch 19, Loss: 8.934032440185547
INFO:root:Batch 20, Loss: 9.057623863220215
INFO:root:Batch 21, Loss: 8.951369285583496
INFO:root:Batch 22, Loss: 8.529556274414062
INFO:root:Batch 23, Loss: 8.88846206665039
INFO:root:Batch 24, Loss: 8.42574691772461
INFO:root:Batch 25, Loss: 8.316533088684082
INFO:root:Batch 26, Loss: 8.526202201843262
INFO:root:Batch 27, Loss: 8.57003402709961
INFO:root:Batch 28, Loss: 8.033987998962402
INFO:root:Batch 29, Loss: 7.816079139709473
INFO:root:Batch 30, Loss: 7.94336462020874
INFO:root:Batch 31, Loss: 7.625020980834961
INFO:root:Batch 32, Loss: 7.677868366241455
INFO:root:Batch 33, Loss: 8.15435791015625
INFO:root:Batch 34, Loss: 7.428958892822266
INFO:root:Batch 35, Loss: 7.428257465362549
INFO:root:Batch 36, Loss: 7.385091781616211
INFO:root:Batch 37, Loss: 7.704215049743652
INFO:root:Batch 38, Loss: 7.007469177246094
INFO:root:Batch 39, Loss: 6.558171272277832
INFO:root:Batch 40, Loss: 6.891535758972168
INFO:root:Batch 41, Loss: 6.648732662200928
INFO:root:Batch 42, Loss: 5.889343738555908
INFO:root:Batch 43, Loss: 7.787547588348389
INFO:root:Batch 44, Loss: 6.817623615264893
INFO:root:Batch 45, Loss: 6.43971061706543
INFO:root:Batch 46, Loss: 6.230216979980469
INFO:root:Batch 47, Loss: 5.916947841644287
INFO:root:Batch 48, Loss: 6.159693241119385
INFO:root:Batch 49, Loss: 5.78933048248291
INFO:root:Batch 50, Loss: 6.209542751312256
INFO:root:Batch 51, Loss: 6.012800693511963
INFO:root:Batch 52, Loss: 5.268378734588623
INFO:root:Batch 53, Loss: 6.674400329589844
INFO:root:Batch 54, Loss: 4.8460283279418945
INFO:root:Batch 55, Loss: 5.228631019592285
INFO:root:Batch 56, Loss: 5.721014976501465
INFO:root:Batch 57, Loss: 5.461835861206055
INFO:root:Batch 58, Loss: 5.171176910400391
INFO:root:Batch 59, Loss: 4.592106342315674
INFO:root:Batch 60, Loss: 4.943090915679932
INFO:root:Batch 61, Loss: 5.053647041320801
INFO:root:Batch 62, Loss: 4.406040668487549
INFO:root:Batch 63, Loss: 4.737884521484375
INFO:root:Batch 64, Loss: 5.026912689208984
INFO:root:Batch 65, Loss: 4.415162563323975
INFO:root:Batch 66, Loss: 4.742700576782227
INFO:root:Batch 67, Loss: 4.270244121551514
INFO:root:Batch 68, Loss: 3.668616771697998
INFO:root:Batch 69, Loss: 3.8243908882141113
INFO:root:Batch 70, Loss: 3.820725440979004
INFO:root:Batch 71, Loss: 4.513960361480713
INFO:root:Batch 72, Loss: 3.3057515621185303
INFO:root:Batch 73, Loss: 3.397240161895752
INFO:root:Batch 74, Loss: 3.5140669345855713
INFO:root:Batch 75, Loss: 3.3713326454162598
INFO:root:Batch 76, Loss: 3.785303831100464
INFO:root:Batch 77, Loss: 2.7439210414886475
