INFO:root:Batch 0, Loss: 10.416337966918945
INFO:root:Batch 1, Loss: 10.412022590637207
INFO:root:Batch 2, Loss: 10.384966850280762
INFO:root:Batch 3, Loss: 10.355545043945312
INFO:root:Batch 4, Loss: 10.328042984008789
INFO:root:Batch 5, Loss: 10.30943775177002
INFO:root:Batch 6, Loss: 10.279413223266602
INFO:root:Batch 7, Loss: 10.270465850830078
INFO:root:Batch 8, Loss: 10.22729778289795
INFO:root:Batch 9, Loss: 10.21969223022461
INFO:root:Batch 10, Loss: 10.23236083984375
INFO:root:Batch 11, Loss: 10.175118446350098
INFO:root:Batch 12, Loss: 10.157546043395996
INFO:root:Batch 13, Loss: 10.136914253234863
INFO:root:Batch 14, Loss: 10.114255905151367
INFO:root:Batch 15, Loss: 10.099958419799805
INFO:root:Batch 16, Loss: 10.104842185974121
INFO:root:Batch 17, Loss: 10.046446800231934
INFO:root:Batch 18, Loss: 10.038140296936035
